Title,Price,Suburb,Address,City,Bedrooms,Bathrooms,Parking,Size,URL,Agent
2 Bedroom Apartment,550000,Florida,"10 Ss Flora Villas, 1 Hull Street",Gauteng,2.0,1.0,1.0,79 m²,https://www.property24.com/for-sale/florida/roodepoort/gauteng/1574/116054089,Estate Agency profile for Harcourts Rhino
2 Bedroom Apartment,649000,Roodekrans,"34 Azalea Estate, 5 Azalea Avenue",Gauteng,2.0,1.0,2.0,61 m²,https://www.property24.com/for-sale/roodekrans/roodepoort/gauteng/653/116061549,
1 Bedroom Apartment,630000,Jackal Creek Golf Estate,"St Andrews, 8 Palora Road",Gauteng,1.0,1.0,2.0,51 m²,https://www.property24.com/for-sale/jackal-creek-golf-estate/randburg/gauteng/12986/116057117,Estate Agency profile for CPS Properties
2 Bedroom Apartment,529000,Honeypark,"44 Honey Close, 11 Colleen Road",Gauteng,2.0,1.0,2.0,61 m²,https://www.property24.com/for-sale/honeypark/roodepoort/gauteng/14262/116046390,Estate Agency profile for RE/MAX Masters - Bryanston
2 Bedroom House,690000,Fleurhof,36 Hook Thorn,Gauteng,2.0,1.0,4.0,136 m²,https://www.property24.com/for-sale/fleurhof/roodepoort/gauteng/1645/116050749,Estate Agency profile for Keller Williams Advance
2 Bedroom Apartment,650000,Die Hoewes,"247 Villa Alba, 247 Sullivan Street",Gauteng,2.0,1.0,1.0,60 m²,https://www.property24.com/for-sale/die-hoewes/centurion/gauteng/433/116048481,Estate Agency profile for RealNet Centurion Core Properties
1 Bedroom Apartment,595000,Die Hoewes,"238 Basden, 236 Basden Ave",Gauteng,1.0,1.0,2.0,54 m²,https://www.property24.com/for-sale/die-hoewes/centurion/gauteng/433/116047765,Estate Agency profile for RealNet Centurion Core Properties
2 Bedroom Apartment,565000,Wilgeheuwel,50 Florin Rd,Gauteng,2.0,1.0,1.0,60 m²,https://www.property24.com/for-sale/wilgeheuwel/roodepoort/gauteng/837/116004158,Estate Agency profile for eProperty.Net
2 Bedroom Apartment,700000,Monavoni,"Magenta, 17 Granite Cresent",Gauteng,2.0,1.0,2.0,75 m²,https://www.property24.com/for-sale/monavoni/centurion/gauteng/382/116051677,Estate Agency profile for RE/MAX Infoglobe - Centurion
2 Bedroom Apartment,500000,Olievenhoutbosch,7098 Monate Ave,Gauteng,2.0,1.0,1.0,42 m²,https://www.property24.com/for-sale/olievenhoutbosch/centurion/gauteng/592/116044794,Estate Agency profile for Dunamis Properties
